RCRD-TYP,FD-CDE-2,ST-OFC-MAILG,CTY-OFC-MAILG,DST-OFC-MAILG,ST-CDE-OBLR,CTY-CDE-OBLR,ID-NBR-OBLR,LN-NBR,CR-REPT-FEE-CDE,NME-OBLR,ADVNC-MULTI-AMT,DTE-CK,APROPTN-CDE,GEOG-ST-CDE,FY,FED-RESV-ROUTE-NBR,CK-DIGIT-ROUTE-NBR,TYP-BANK-ACCT,DPSTR-ACCT-NBR,ENTY-CDE,CK-CNCLTN-CDE,FNL-ADVNC-CDE,DTE-LST-RGSTR-DTL,BLK-NBR
17,23,30,41,41,30,41,84723129,15,6,4.10085E+14,660.27,31121,27,12,85,38904203,9,S,UD3C49N4ICL5A3YW0,89,25,40,101914,5435
18,23,22,7,7,22,7,31161179,99,1,7.00312E+13,38724.41,12617,56,50,85,38885773,5,B,S35UL1KLCC8ZPAUUJ,93,64,64,92221,7554
11,64,21,43,43,21,43,83726989,6,2,4.30084E+14,627982.7,22719,90,30,24,18807562,6,S,7LV2GGLKIHTEOTSA4,53,56,22,111419,7835
11,85,38,13,13,38,13,59305962,17,6,1.30059E+14,68476.67,92716,63,11,85,63635431,4,S,P2DRGROP7M11WIMF8,97,68,89,51720,1444
11,44,35,51,51,35,51,86480756,32,0,5.10086E+14,560.83,71015,38,12,45,84648449,5,M,DBS7ATMSSAQ4KG4H9,4,15,33,82920,2789
11,85,4,9,9,4,9,88806943,84,4,9.00888E+13,97516.9,20414,41,46,86,34187290,2,B,PYMLUZ3E5C0NE6BFT,0,70,21,111819,8438
20,23,48,243,243,48,243,32209948,3,7,2.43003E+15,9411.71,51016,47,35,65,77612729,0,B,K208DJUL6UOGNF9ED,58,25,75,81717,9300
19,64,26,49,49,26,49,48623020,25,9,4.90049E+14,-6072.29,31821,90,17,45,64140738,9,B,1PJEBK009X8N2D9OC,18,74,66,50521,1779
15,44,48,285,285,48,285,66444158,3,5,2.85007E+15,-994945.23,30220,54,41,65,21238816,8,M,38SI96CZP3VVAS84E,70,7,1,101917,7627
16,44,22,81,81,22,81,31748689,39,5,8.10032E+14,-846662.34,60322,96,18,86,94030127,7,S,U0OGYRUDFSHZLTI5F,19,95,67,61913,3377
16,64,26,109,109,26,109,54156965,2,5,1.09005E+15,53054.81,11317,50,1,45,13930824,3,S,R3LUQSXI3G1Z6CF0C,25,58,58,91317,1390
10,44,12,19,19,12,19,97619222,77,0,1.90098E+14,8621.45,70115,80,29,45,66894964,3,C,D7304IKLK2Q9QZRWK,26,10,18,82618,7182
19,44,48,91,91,48,91,81839638,13,3,9.10082E+14,864271.84,100518,31,55,45,60859005,8,C,ENXB21C30FU5W0SGI,29,90,35,81121,3665
19,85,20,169,169,20,169,90297512,86,8,1.69009E+15,8962.2,80823,12,20,24,56731280,5,S,E04HLTFFTT6QK0N2Y,86,92,7,40914,1839
18,23,38,51,51,38,51,89704384,77,3,5.1009E+14,8482.96,73114,5,48,65,76704728,8,S,I0E7YKMU1BKMRCG4Y,83,36,34,93022,2725
15,85,41,45,45,41,45,41348829,57,4,4.50041E+14,-732.63,61514,46,30,86,14640791,0,M,DQRUHUIW5VRY8HV32,32,84,72,10116,4468
17,64,27,59,59,27,59,53886347,57,3,5.90054E+14,-946764.89,101616,97,13,24,37397724,9,M,01TY2QYLR528RDXJT,87,74,92,53118,8837
11,85,36,57,57,36,57,58651430,28,6,5.70059E+14,-372.27,90814,11,12,86,47404969,0,B,OPIJE9ROWAGS4QRLN,34,54,96,82014,9060
17,85,48,287,287,48,287,92671331,5,2,2.87009E+15,-651.6,82121,39,24,24,63172869,1,B,4BQKYDMIVLRLY9A37,91,11,22,20320,8946
17,24,37,181,181,37,181,46639144,99,3,1.81005E+15,-755530.57,42120,97,19,65,79770638,3,B,8CXG4SM7OEGBP9ZH8,84,16,79,32313,1469
16,65,40,29,29,40,29,12456507,19,0,2.90012E+14,993.77,120413,58,46,86,49125956,2,S,C4I2HD8OND0T9U6HH,38,77,34,73116,2218
18,44,51,101,101,51,101,34080633,16,6,1.01003E+15,794790.86,32915,36,30,66,29665172,8,B,KMQCME07YKH1T1FZM,0,60,30,91620,8095
17,85,47,29,29,47,29,51123129,55,8,2.90051E+14,-2279.55,41015,85,2,45,67891058,4,S,CBWLNNB8D90O1KOKS,53,53,76,40714,4181
17,44,13,295,295,13,295,82622203,14,5,2.95008E+15,839755.82,110617,17,9,86,78396219,4,C,LSCJ46VJL4X0SJV5O,50,99,54,92622,5372
17,85,18,171,171,18,171,71649315,8,7,1.71007E+15,743093.48,72315,65,12,66,77625121,2,M,9L8I416I70KV114I2,7,86,75,101016,3656
16,65,55,77,77,55,77,35487607,16,6,7.70035E+14,-449.43,11720,77,49,25,34987977,4,C,UH8E9YKLYMM7BDO1R,24,6,13,92715,9555
15,24,15,7,7,15,7,15860278,88,2,7.00159E+13,274.78,101921,86,15,25,37968271,9,M,Y461NB3GUNQKXQN9I,25,95,55,102318,4403
12,24,39,169,169,39,169,59376185,97,3,1.69006E+15,113278.86,90415,72,44,86,53485181,1,B,WCJ580CB9EGAJZ7OY,72,40,51,80418,7032
14,85,13,309,309,13,309,77768144,46,7,3.09008E+15,-1408.1,30519,10,40,86,36041482,5,C,D6381ROZEPUP61PVX,73,79,56,40115,5275
19,44,31,95,95,31,95,21143015,74,7,9.50021E+14,-13834.77,90813,20,29,45,39987751,1,S,VF4Z1ZKMIDQI32ZLX,79,32,50,53019,9520
15,85,51,65,65,51,65,33307914,20,9,6.50033E+14,-123845.87,121218,72,4,86,76396828,7,B,WTKAGFF44JEVXUABR,76,26,47,123016,2850
20,85,40,13,13,40,13,70479084,11,8,1.3007E+14,9242.8,100917,41,53,66,68167044,9,B,T8JMBAMXD4TW4OTJY,30,47,83,112914,7126
17,85,46,35,35,46,35,54446833,79,0,3.50054E+14,11109.44,60414,69,36,45,94001119,8,S,BQFJLW4XCXKWRAJ84,82,3,31,22021,7603
20,85,35,27,27,35,27,90306319,58,3,2.7009E+14,499.89,82815,48,4,66,58788259,8,B,MH6CDTTKYZ6P5BE86,32,8,98,60616,830
17,65,17,67,67,17,67,33037187,74,2,6.70033E+14,763984.96,72916,67,23,86,67333990,9,C,V7D9DIRZK7UPU827B,82,75,39,52015,4721
20,44,5,135,135,5,135,50362034,91,5,1.35005E+15,314.65,100114,38,6,45,71404666,8,S,3LUEOYK1C59L5Z257,90,94,3,11522,7695
19,65,48,29,29,48,29,68286679,95,2,2.90068E+14,4569.57,60223,93,25,45,58712780,6,C,FQ82LH2FOR4IYZ4U9,94,57,57,71517,8161
12,85,21,197,197,21,197,66683816,25,3,1.97007E+15,504.62,52013,4,32,25,84615384,3,C,IFCX2Y8ZKD2517BI2,47,62,69,91014,2621
19,44,18,137,137,18,137,77304592,13,5,1.37008E+15,660305.75,121023,13,21,45,63571915,7,S,F5EFLCJUHIGOWOLFL,96,82,47,30116,6642
18,85,51,25,25,51,25,56950015,50,6,2.50057E+14,-53075.8,100415,8,23,25,94003080,3,C,QHQPBWGNMVVTMAKML,52,60,26,90521,1498
13,85,54,17,17,54,17,37172741,86,9,1.70037E+14,87539.82,102421,30,27,46,76427100,9,C,6PB5KRA2OMUM3W3S7,6,54,47,50216,112
18,65,45,33,33,45,33,89900683,34,3,3.3009E+14,977077.46,101017,62,31,87,34872052,5,B,H6CL1DFNMN63Q53N6,6,60,96,92815,5256
18,24,13,131,131,13,131,77159606,22,9,1.31008E+15,80558.51,122522,53,16,66,19208261,8,C,W8E311KSK6LTCTSU5,60,35,61,122714,3357
20,65,5,39,39,5,39,28826476,97,9,3.90029E+14,126939.6,32516,98,29,46,77040272,2,S,NRJPPHJCJOJY9X231,13,40,15,32015,3641
18,65,4,27,27,4,27,60481347,46,1,2.7006E+14,390.6,91220,88,23,66,41473157,2,M,JRN3TSZ3QVAIHOO8V,63,49,13,72620,663
13,65,29,209,209,29,209,71411726,67,6,2.09007E+15,1236.12,70618,65,53,25,69003511,5,M,FEQSDVHSAJD8EOWPS,67,13,16,101214,7865
11,24,21,155,155,21,155,88804318,25,5,1.55009E+15,-43799.15,31821,23,17,87,85885332,3,S,64ZKIQCRCLXIZMLI0,13,22,58,71714,3668
13,24,37,187,187,37,187,15803634,89,1,1.87002E+15,481.64,41814,60,35,25,22783008,7,S,3153X81TKN5ZQL717,68,29,30,60419,2772
14,24,37,87,87,37,87,38471535,36,9,8.70038E+14,4944.47,92319,55,39,25,85331420,4,C,O2W499HO2Z3H8BBVA,71,85,51,62322,8603
17,86,48,295,295,48,295,65128556,35,2,2.95007E+15,199990.27,100918,76,45,66,34504085,1,C,21THO4QSBJMEPQTKO,69,77,99,82118,7748
13,65,12,37,37,12,37,18082802,87,0,3.70018E+14,4602.61,62414,38,15,25,28330768,7,B,UF1MZQZ7XSX8PY67X,74,29,20,120322,8180
14,65,29,81,81,29,81,44049315,78,7,8.10044E+14,55590.36,80914,76,55,25,41056164,3,M,Q7M8DYJ25NRLIIQRE,75,1,44,52621,6150
13,24,47,59,59,47,59,12901455,53,5,5.90013E+14,-5315.1,122316,87,1,46,51138952,5,C,5ATZBOQF8F4Z6H02G,29,24,82,10213,7534
14,24,17,45,45,17,45,45825218,63,5,4.50046E+14,634736.16,41020,27,21,66,95621696,3,C,IY9OM1NQ9LT2LKJI9,78,80,34,100118,6309
17,86,48,85,85,48,85,79878498,33,4,8.5008E+14,17816.48,63020,69,37,87,11952823,8,C,26A00JYYGSB4F7TX3,27,51,45,31314,7021
20,65,42,23,23,42,23,67663292,3,9,2.30068E+14,113.21,72513,42,34,46,35875922,1,B,E3QWSZRKYV0HM6SOY,33,45,12,70317,8885
17,45,33,7,7,33,7,23638627,89,5,7.00236E+13,731194.2,53013,21,45,25,98520762,8,S,YGL0PZC2MSUD91GPK,87,73,32,50116,671
14,45,6,111,111,6,111,25126955,31,0,1.11003E+15,4816,120613,27,13,66,33917483,9,B,OE1Q4PAF6PUPJZ69K,84,43,13,11316,3339
17,65,31,133,133,31,133,91372039,17,2,1.33009E+15,-5847.16,22517,46,34,25,15555368,7,B,F0TEQHL8G5RAFOR68,88,80,95,121016,2459
11,24,38,103,103,38,103,28765300,71,8,1.03003E+15,937.92,121213,92,51,66,35722638,7,C,6OSKBA04ONOX5M8W4,86,84,61,41120,6353
11,86,17,149,149,17,149,13677577,99,4,1.49001E+15,74789.7,90723,47,41,87,97759984,9,M,ASHKI557PHFISQF27,37,61,42,90422,1958
13,45,27,81,81,27,81,54661802,49,8,8.10055E+14,145.2,101122,32,48,66,12690246,1,C,1W7IU31N01S9ALQ1J,91,90,81,11320,5733
17,86,22,89,89,22,89,81324325,86,2,8.90081E+14,508.62,31223,6,1,66,73651612,7,C,22SUY2PDYF6U9OU9N,93,43,34,70618,2328
16,65,38,11,11,38,11,97457554,14,2,1.10097E+14,27836.5,30519,39,24,66,69517556,1,S,ZKB46E5HSDUHUGKOK,94,63,32,101017,1066
11,45,20,121,121,20,121,87197323,43,4,1.21009E+15,470451.62,122116,95,13,66,63430447,1,M,W6YGCD7HCFQH1998B,96,23,40,72121,8969
14,24,35,7,7,35,7,30921145,18,6,7.00309E+13,-5053.11,11015,13,5,87,21905993,0,S,1QQFSQNO2V7JXYEOX,45,64,54,110116,993
18,24,51,36,36,51,36,88495167,59,5,3.60088E+14,-5038.64,60420,57,15,87,26424484,2,C,C1ZZTVK7FQWTORPG6,48,68,80,21120,10
16,45,48,249,249,48,249,26519630,55,0,2.49003E+15,-4351.72,91721,21,27,87,83631591,3,C,967S52OFW99Y49LGJ,49,80,18,31821,9693
19,45,51,760,760,51,760,88604065,66,5,7.60009E+15,7515.17,112016,53,37,26,42796465,4,S,4ZLPTSF2GEVXTM2WC,8,36,82,90713,3625
10,45,21,143,143,21,143,26313240,28,1,1.43003E+15,455898.21,81622,29,39,87,86561589,8,B,A0Z0TDWLPKTAKLIEO,52,60,33,50214,1759
10,86,28,3,3,28,3,27960211,11,0,3.0028E+13,617577.19,90622,64,33,67,11143544,7,C,N3GBQHPTVYFOOA3SV,4,29,95,123115,7464
18,86,54,95,95,54,95,77215311,77,0,9.50077E+14,-369902.6,20919,49,30,46,78489567,0,C,47P06U2S6CXLYMBBR,60,56,53,31620,208
13,45,19,155,155,19,155,17962156,36,3,1.55002E+15,-3954.19,22718,49,37,26,59876163,7,S,44R0NMQWIDC5S39GH,12,30,80,102915,1845
16,25,51,95,95,51,95,55166647,47,1,9.50055E+14,99395.87,110918,32,54,67,57935898,4,M,3EU1GFQ2JU2GIW44F,14,92,71,70319,391
17,86,27,79,79,27,79,64853214,40,1,7.90065E+14,594.95,40613,8,6,26,55482815,4,B,2ZMXEXVNXIOU1FDBR,21,82,89,50217,2601
13,66,6,87,87,6,87,95983477,81,3,8.70096E+14,31700.67,122221,75,49,67,51005766,7,C,D3KWPOR2JB9P6C9K8,18,45,27,91516,2409
14,66,47,75,75,47,75,87487679,90,2,7.50087E+14,637872.5,120917,50,50,46,16966592,3,B,N9PV2ETI86BOPUK97,70,50,49,52514,5391
13,45,1,33,33,1,33,11608690,73,9,3.30012E+14,-69360.63,11818,1,19,87,32636334,1,B,DQM1ZBMBU2MD83SOI,67,62,47,42518,4674
14,25,20,207,207,20,207,23861108,93,0,2.07002E+15,13109.55,121216,1,40,67,45932627,5,C,AUCFK5FY96Q5TMDJ3,21,37,57,100716,9644
17,66,1,131,131,1,131,21907108,10,8,1.31002E+15,312413.43,11317,48,19,26,25316745,8,S,P6RX55ZHHM7SB2LG3,24,17,32,81619,3137
11,25,13,85,85,13,85,44942607,86,5,8.50045E+14,716.81,62222,1,21,87,13524112,1,S,7FQIM5YJBFUXT2JGN,69,51,29,102613,6731
14,86,46,23,23,46,23,93311748,83,4,2.30093E+14,5694.42,21921,83,8,26,84848678,8,C,ZNU78HKUCIQ9WTYVS,28,90,16,51119,8649
15,45,54,5,5,54,5,57804713,97,5,5.00578E+13,5292.1,21915,87,4,26,23746016,8,M,S4MWMHZ0KF9OVBWP7,29,1,5,71016,8322
18,66,29,61,61,29,61,96133149,62,0,6.10096E+14,847408.8,80120,35,23,87,31686746,9,M,M0UMEPKWY0MKDZ5H8,75,26,5,72418,1120
17,86,41,19,19,41,19,11891448,96,7,1.90012E+14,-9924.59,20118,31,56,46,20613721,8,S,SGN4GPLO5RDHRYDEN,80,20,4,50622,2961
15,45,31,13,13,31,13,68731870,1,2,1.30069E+14,16027.59,52418,72,10,26,13147335,6,C,Z6IP3JEG139JOQM2J,34,55,83,82818,6696
16,25,37,99,99,37,99,82025393,47,3,9.90082E+14,3475.9,70213,96,53,67,29888812,1,B,R6JP3OMWZ0QYCYJPS,36,12,26,71322,9522
13,25,27,117,117,27,117,31723056,36,1,1.17003E+15,9591.41,41622,92,53,87,56925398,8,S,VXYAHVF27UO99LNXL,88,10,71,51815,8934
11,45,17,73,73,17,73,57466309,95,6,7.30057E+14,9587.11,51023,41,46,26,90682522,8,C,ZTFXOYUYZ06BXQ69S,45,55,32,11221,3649
19,86,29,13,13,29,13,73146653,95,1,1.30073E+14,481094.2,70523,67,19,26,15760915,8,C,LRXLMIBUTYJBHZ7YM,54,30,71,32122,3745
19,45,51,690,690,51,690,72571861,52,1,6.90007E+15,6414.33,12918,59,23,87,49544473,2,S,P3YZLQC1LDWKIOOM9,99,59,32,30819,1851
19,45,30,71,71,30,71,40434118,93,7,7.1004E+14,321.17,52115,59,44,47,32935816,7,C,ZXWGZI0B2YBJ0YGON,2,76,28,60917,3612
10,66,31,171,171,31,171,24259989,60,7,1.71002E+15,331.18,62113,75,40,67,43479329,7,S,N33PIVESKJFXIN8HU,50,3,97,12015,2770
18,21,40,99,99,40,99,83289181,39,4,9.90083E+14,13413.32,103116,97,37,26,13696168,3,M,WIA5JBMJ1EEDL19HI,60,7,47,31214,503
19,45,21,115,115,21,115,90895855,68,3,1.15009E+15,9658.89,112319,44,11,47,95104531,4,S,12UAA37K9KQV0COZT,11,61,90,90717,4030
17,45,17,143,143,17,143,44847848,97,2,1.43004E+15,76448.22,121515,54,10,67,45503142,8,C,FLF64R6CTW5SK1TWV,62,29,72,22316,1500
18,86,18,61,61,18,61,78033073,22,2,6.10078E+14,3477.53,122813,23,9,47,78438547,8,C,CYWIHQWRA9R0BBP5T,14,71,63,112422,4420
11,86,4,3,3,4,3,93753288,89,3,3.00938E+13,718386.1,92123,99,28,67,49965771,8,C,3IXRG8IM75W9NVCQF,64,79,69,122914,983
15,25,42,99,99,42,99,65182985,65,5,9.90065E+14,369.47,100716,95,4,88,16808439,9,C,DN59LC33E0Z0LSGRD,21,27,27,72114,2343
12,25,41,11,11,41,11,67174467,87,3,1.10067E+14,960201.72,72515,67,9,67,93069130,1,S,KG7MACXH6697ILDWV,80,16,38,41014,5068
18,25,21,17,17,21,17,11308127,6,5,1.70011E+14,419549.22,72720,71,42,67,63379971,2,M,9KNG6HGF4CBIAHD14,81,9,44,12221,4876
17,87,48,219,219,48,219,27737199,11,9,2.19003E+15,72569.12,40714,15,10,88,45496814,2,B,EPBDF9V7V3YHXBHSR,33,34,60,102321,31
11,66,18,121,121,18,121,11223470,40,6,1.21001E+15,63655.63,102214,95,45,88,59419779,9,M,FWOIASRK4BZ3NDQPD,36,9,85,30913,2850
20,66,48,227,227,48,227,40599389,18,3,2.27004E+15,7826.8,110923,28,51,88,69214054,0,C,CLGUQOML5UWTCD9SX,40,98,52,41815,3844
18,25,19,183,183,19,183,48973805,40,6,1.83005E+15,888401.3,81822,85,13,26,14752728,1,B,F7WIS7QS2535J4JKB,99,25,81,123116,7831
20,87,45,29,29,45,29,95494488,77,9,2.90095E+14,92476.76,80715,46,27,27,31424269,0,M,H253O87B5KN2DCUQ9,4,54,93,31514,5622
15,46,12,57,57,12,57,71844737,58,2,5.70072E+14,-667632.87,81622,71,8,47,75482009,2,M,4NZZGFJ5C3FBOWVIS,53,20,18,120913,6539
15,25,18,23,23,18,23,58266508,93,1,2.30058E+14,2092.77,112714,58,39,88,16908632,1,C,IPRE4SPMMYEF3QFOW,48,99,53,81119,7741
13,25,39,89,89,39,89,61096959,64,4,8.90061E+14,763.85,92421,60,28,27,45938269,9,B,N6YZGYGSJ519Q5LLT,7,3,62,92519,4759
17,46,17,89,89,17,89,32287813,7,4,8.90032E+14,6936.3,20117,90,56,68,80998415,9,C,J3OZJCIU6PS7SYOEF,1,9,26,22616,6951
16,25,8,123,123,8,123,99038444,10,3,1.2301E+15,156898.3,110623,97,50,27,87717050,3,B,0NQBGD3LC73XW1Y7P,15,29,20,112721,2525
15,87,13,261,261,13,261,58316703,50,3,2.61006E+15,5385.39,100115,83,31,88,31783272,7,C,13DFZJ4UX1JI1664T,59,10,43,92915,204
11,46,5,55,55,5,55,51749251,74,1,5.50052E+14,-9831.22,102516,90,11,47,33024437,0,B,0BPENFN5T3TNXHSVH,65,44,71,91013,3555
18,46,20,31,31,20,31,50611791,71,1,3.10051E+14,9940.24,42916,10,20,68,57419832,2,C,765NN5LUJ43TNO66B,18,22,12,31421,6547
17,66,51,73,73,51,73,36962698,69,1,7.30037E+14,431.23,62716,40,53,88,28006642,0,M,UG9OFBH22QKPELTWP,77,87,39,100821,5093
20,87,16,61,61,16,61,30594175,34,8,6.10031E+14,-532.4,20119,29,37,68,49476544,4,S,N9N6E2DE48JJBSI4U,29,90,48,81020,6710
16,87,37,115,115,37,115,10345468,49,4,1.15001E+15,8969.33,80921,18,25,27,46875162,6,B,LYEGT057XIK9C3QRJ,38,36,41,51917,9846
19,66,53,69,69,53,69,65461027,16,9,6.90065E+14,944543.16,71417,42,28,68,23904862,9,B,Q1SIK6HKNK23CZ44N,36,26,54,101117,8859
18,66,37,139,139,37,139,17208961,64,2,1.39002E+15,66597.48,50317,18,30,88,49836770,3,B,FIJ30Y629KCLMM3A0,84,51,81,112819,3432
19,66,27,159,159,27,159,13614763,41,8,1.59001E+15,36777.25,62823,15,56,88,14844771,6,M,T2D3GKIPGH1RHGGYN,87,71,98,100915,1788
14,66,2,170,170,2,170,13362377,82,0,1.70001E+15,11411.26,50923,29,34,68,97239311,7,B,7D8BYSOUBM9M7W7MB,44,97,17,91618,1909
14,87,36,5,5,36,5,35788486,10,1,5.00358E+13,-130.27,32022,62,2,47,73221679,0,M,GWHWA1QGL2NAML2UM,96,93,63,82515,4494
19,87,40,15,15,40,15,32801763,43,5,1.50033E+14,1096.88,81517,82,31,48,50866845,4,B,RS25ILWFQMX0XHFW5,2,84,51,50321,4793
10,25,12,23,23,12,23,34470488,90,1,2.30034E+14,84605.56,11218,47,53,27,43274070,5,S,0OUOSG5S7B3DRK063,54,38,50,120414,4696
20,87,27,43,43,27,43,80371203,12,4,4.3008E+14,55335.3,111113,57,30,68,19751826,8,M,TZ4TGBVR7ZWB8QJBA,50,18,11,91815,5689
12,46,26,159,159,26,159,60876663,18,5,1.59006E+15,8394.28,90617,62,16,27,89443402,0,B,005FOD24B3F06TBWU,56,55,82,91314,4805
12,26,17,109,109,17,109,59088998,30,2,1.09006E+15,794081.66,92215,46,41,27,78876506,1,M,00EFVUO27B8U9BS78,58,98,44,91215,7618
16,46,51,77,77,51,77,23614218,59,9,7.70024E+14,5809.26,102914,58,35,68,85042500,4,C,DCASXRW2GM4UIOI4O,58,7,7,62218,3088
13,26,19,107,107,19,107,21529804,91,5,1.07002E+15,91995.2,81118,36,13,48,20544470,4,S,QO0KIL853MXMVASEC,12,26,63,52916,5120
10,26,48,23,23,48,23,89170102,63,7,2.30089E+14,25922.37,123015,65,31,27,28044449,1,C,Y7BABRIOCCVMHYJWL,65,24,94,72616,1730
11,26,47,53,53,47,53,65413263,98,3,5.30065E+14,354.1,61415,13,23,48,32677223,0,M,UBOK1R50FFP93RYOR,14,80,84,10113,7883
15,87,30,67,67,30,67,94304688,91,6,6.70094E+14,-48748.77,20522,9,37,48,24964002,6,B,HUSPWTJ59RNHKHMDM,15,97,11,120320,8895
16,46,12,131,131,12,131,59174006,90,4,1.31006E+15,-31480.48,62818,10,11,68,11040034,9,C,0SRTY4955YCO037MV,64,54,22,110521,5518
13,26,23,29,29,23,29,50811708,98,6,2.90051E+14,329023.62,11815,93,19,27,46391819,4,S,9IIOXKI672G7EITBI,64,76,25,21121,3104
14,46,54,29,29,54,29,99416394,84,4,2.90099E+14,445175.31,12616,36,38,89,39876278,0,B,2KP6WM74XBAHIJHLZ,11,70,4,100122,9143
15,26,46,69,69,46,69,43588094,73,5,6.90044E+14,-5603.56,22414,42,35,89,34439472,5,M,MU6P6YE1TNDGDNGTC,15,81,10,53013,405
15,46,30,85,85,30,85,31853873,25,1,8.50032E+14,59923.35,92018,18,30,68,42053172,9,S,A08Y5LUBHSB4HRAQI,67,87,67,70922,3513
11,67,19,143,143,19,143,13301842,16,6,1.43001E+15,555.1,111117,2,10,27,91834799,8,C,FUIMQ4019YOP7ENRV,75,44,67,51715,173
13,67,46,45,45,46,45,74004205,44,2,4.50074E+14,21107.76,51422,73,30,27,50077676,5,B,QA2ODCPPPN496TCFP,77,42,90,70420,3908
12,87,51,790,790,51,790,59352586,22,9,7.90006E+15,-3713.71,90614,49,19,89,70169772,9,B,Z8VKQDELOXTJT10KK,23,86,21,62714,6351
11,87,5,127,127,5,127,12969438,88,3,1.27001E+15,244.61,43018,42,21,89,81020657,6,C,FDEWC2XAXFZHIODDO,26,89,91,92420,4443
19,26,29,175,175,29,175,23720439,90,1,1.75002E+15,4152.96,22522,48,8,68,84155429,6,C,HEI23CCQ7X93G0NH6,78,82,71,111522,9503
11,67,8,69,69,8,69,81470692,92,1,6.90081E+14,40178.4,82217,2,22,89,60900890,5,S,OUVJQ0MM4HK147X3B,33,77,89,20114,8789
12,26,22,51,51,22,51,84546162,28,0,5.10085E+14,2907.16,61023,22,54,89,42089958,3,B,MLRA7LEDIHOLEX3A8,34,71,9,12621,123
12,46,6,115,115,6,115,40194313,18,3,1.15004E+15,3248.38,42716,77,39,68,85550740,5,S,947RDKYPU92W03BHS,87,7,89,61522,3466
16,67,20,107,107,20,107,53735604,9,0,1.07005E+15,851773.62,22414,53,12,27,42928264,0,C,57BSDYUAKEXXOZR0N,93,22,28,81915,6980
18,87,19,125,125,19,125,55611856,52,4,1.25006E+15,3678.83,121813,49,47,89,11978927,1,M,DH4KMYP77EIVGADNH,38,27,61,120115,7665
17,26,31,29,29,31,29,14283517,23,6,2.90014E+14,-46563.34,102813,79,49,89,21025874,9,C,NX2ZA8Q5DEY70S077,37,71,31,100315,581
20,46,20,171,171,20,171,80988688,25,5,1.71008E+15,-20011.14,41923,96,25,48,61604147,8,B,AIN7AUV7P4OJ8WIE1,41,76,12,121117,9888
19,26,46,87,87,46,87,59097843,68,2,8.70059E+14,790566.39,11419,13,46,69,53330160,7,B,0ON7JJ0V4CPLJ8UWE,7,54,48,102120,6746
15,67,21,151,151,21,151,26367847,38,2,1.51003E+15,4886.9,92822,8,34,69,20798948,1,C,PY8NNI3VROH3DTDVZ,13,35,95,92618,365
19,26,17,141,141,17,141,78613427,86,4,1.41008E+15,383.77,22623,52,45,48,80833353,2,B,B5ABSFAR2DZYVLHLN,65,53,8,110513,5218
14,46,30,21,21,30,21,21707583,88,1,2.10022E+14,46417.18,11421,1,8,28,14790289,0,C,PYAS0RBJMYH7IOI3M,28,38,69,121518,9791
20,87,6,51,51,6,51,86734077,28,9,5.10087E+14,409649.65,62320,29,46,28,58965704,8,S,J18ZJ8KEH8K34NMNO,33,9,45,81814,2404
13,26,49,49,49,49,49,35589542,23,5,4.90036E+14,6397.12,61618,50,30,48,78599955,7,B,8GZRN79Z9S2XMXGV6,83,48,37,102416,8613
14,67,35,47,47,35,47,66915758,69,9,4.70067E+14,81843.22,83122,25,31,89,54000655,1,S,0682D4N3KGJZUQGJT,80,42,5,61416,5047
15,26,46,3,3,46,3,37302160,1,3,3.00373E+13,981205.78,121220,13,24,89,82445252,2,B,97JVH3Q2KOXGEUBYS,81,92,59,60720,1744
11,47,20,151,151,20,151,30817761,37,1,1.51003E+15,677444.6,100423,68,37,48,21234679,3,B,XCVS6G34ODINT862M,86,88,8,91921,5114
18,47,16,73,73,16,73,39097289,94,6,7.30039E+14,5500.91,40414,31,5,89,53422546,5,S,FY7G0Q6IDIK5T89AK,90,72,72,30114,4892
18,67,22,125,125,22,125,66266872,80,0,1.25007E+15,150855.6,21723,96,16,28,50923030,7,C,XFAKLLZY0QULB072E,50,32,76,51413,3890
10,26,42,83,83,42,83,93443698,23,2,8.30093E+14,467639.12,52923,99,51,69,79356136,0,M,2F12APDR5BNNWKO53,47,48,72,82521,306
13,67,30,81,81,30,81,52937434,94,6,8.10053E+14,5587.23,80218,76,17,48,72062715,5,B,4HP2HEW9D2QQ6KTH4,99,34,50,70119,2598
17,47,37,129,129,37,129,42911307,25,6,1.29004E+15,26651.72,41520,23,37,49,82043856,2,S,Y9AIAVIHC2TJCSI79,1,28,18,70617,2008
17,47,17,9,9,17,9,20806460,2,2,9.00208E+13,65293.25,32314,60,30,69,24432572,6,S,CHP7NWNAHA3C0MUNA,52,18,92,102917,6732
11,67,25,23,23,25,23,22091799,33,2,2.30022E+14,-69570.36,112023,96,42,28,79358124,2,M,ZZUAM6K3I9X3MIOM4,57,40,10,82318,4325
17,67,51,91,91,51,91,75199554,27,0,9.10075E+14,4598.97,120415,53,2,90,96716156,8,S,6E20LJZXLJI9YBBQT,1,67,5,120718,5392
19,88,48,337,337,48,337,90851134,24,3,3.37009E+15,46378.13,31413,76,49,49,72111261,6,C,1WWGPC2K5RC9AMSYC,6,6,46,81918,6399
11,47,51,678,678,51,678,28942758,93,8,6.78003E+15,-899660.56,71418,92,27,49,48178074,4,B,C6N74EDAQVM2ZM0V0,10,79,81,42615,3212
